F:\Uni\Simulations\SwarmSimulation
38,0,0,0,0,0[-0.000947096508710832 -0.000334512167251197;-0.000942181853995899 -0.000346074278078147;-0.00094556214083796 -0.000322515281376163],[6.1059952491635e-06 0;6.1059952491635e-06 0;6.1059952491635e-06 0]
411,0,0,0,0,0[-0.000922891663774145 -0.000334512167251197;-0.000917977009059213 -0.000346074278078147;-0.000921357295901274 -0.000322515281376163],[0.000128225900232434 0;0.000128225900232434 0;0.000128225900232434 0]
427,0,0,0,0,0[-0.000920608251122069 -0.000334512167251197;-0.000915693596407136 -0.000346074278078147;-0.000919073883249198 -0.000322515281376163],[0.000134331895481597 0;0.000134331895481597 0;0.000134331895481597 0]
442,0,0,0,0,0[-0.000918502839933669 -0.000334512167251197;-0.000913588185218737 -0.000346074278078147;-0.000916968472060798 -0.000322515281376163],[0.000140437890730761 0;0.000140437890730761 0;0.000140437890730761 0]
457,0,0,0,0,0[-0.00091630477108726 -0.000334512167251197;-0.000911390116372328 -0.000346074278078147;-0.000914770403214389 -0.000322515281376163],[0.000146543885979924 0;0.000146543885979924 0;0.000146543885979924 0]
471,0,0,0,0,0[-0.000914167682067062 -0.000334512167251197;-0.00090925302735213 -0.000346074278078147;-0.000912633314194191 -0.000322515281376163],[0.000152649881229088 0;0.000152649881229088 0;0.000152649881229088 0]
485,0,0,0,0,0[-0.000911945109486056 -0.000334512167251197;-0.000907030454771124 -0.000346074278078147;-0.000910410741613185 -0.000322515281376163],[0.000158755876478251 0;0.000158755876478251 0;0.000158755876478251 0]
501,0,0,0,0,0[-0.000909306252927187 -0.000334512167251197;-0.000904391598212255 -0.000346074278078147;-0.000907771885054316 -0.000322515281376163],[0.000164861871727415 0;0.000164861871727415 0;0.000164861871727415 0]
517,0,0,0,0,0[-0.000906741839273043 -0.000334512167251197;-0.000901827184558111 -0.000346074278078147;-0.000905207471400172 -0.000322515281376163],[0.000170967866976578 0;0.000170967866976578 0;0.000170967866976578 0]
531,0,0,0,0,0[-0.000904084488450609 -0.000334512167251197;-0.000899169833735677 -0.000346074278078147;-0.000902550120577738 -0.000322515281376163],[0.000177073862225742 0;0.000177073862225742 0;0.000177073862225742 0]
544,0,0,0,0,0[-0.000901704458411549 -0.000334512167251197;-0.000896789803696616 -0.000346074278078147;-0.000900170090538677 -0.000322515281376163],[0.000183179857474905 0;0.000183179857474905 0;0.000183179857474905 0]
556,0,0,0,0,0[-0.000899432831776303 -0.000334512167251197;-0.00089451817706137 -0.000346074278078147;-0.000897898463903431 -0.000322515281376163],[0.000189285852724069 0;0.000189285852724069 0;0.000189285852724069 0]
577,0,0,0,0,0[-0.000895330366218271 -0.000334512167251197;-0.000890415711503339 -0.000346074278078147;-0.0008937959983454 -0.000322515281376163],[0.000195391847973232 0;0.000195391847973232 0;0.000195391847973232 0]
