F:\Uni\Simulations\SwarmSimulation
5377,0,0,0,0,0,[-0.000374081615845318 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.00036758322343974 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
5457,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.00033907726099181 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
5547,0,0,0,0,0,[-0.000374081615845307 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439729 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
5623,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991799 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
5698,0,0,0,0,0,[-0.000374081615845295 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439717 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
5781,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991788 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
5856,0,0,0,0,0,[-0.000374081615845284 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439706 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
5950,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991776 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
6017,0,0,0,0,0,[-0.000374081615845272 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439694 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
6101,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991765 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
6175,0,0,0,0,0,[-0.000374081615845261 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439683 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
6255,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991753 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
6347,0,0,0,0,0,[-0.00037408161584525 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439672 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
6416,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991742 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
6499,0,0,0,0,0,[-0.000374081615845238 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.00036758322343966 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
6583,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.00033907726099173 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
6657,0,0,0,0,0,[-0.000374081615845227 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439649 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
6754,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991719 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
