F:\Uni\Simulations\SwarmSimulation
2456,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2512,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2556,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2620,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2656,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2712,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2755,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2819,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2855,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2912,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2957,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3008,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3127,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3158,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3223,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3256,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3306,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3360,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3566,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3610,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3656,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3720,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3754,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3815,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3855,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3920,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
3955,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4013,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4056,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4121,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4155,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4214,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4255,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4307,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4354,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4416,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4458,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4510,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4658,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4781,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4818,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4855,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4912,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
4956,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
5005,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
5056,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
5112,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
